CMDLINE C:\Users\riche\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\python.exe QIX_Raphael_DAVIOT_&_Nael_AIT_AISSI.py
MEM 83.687500 1766143952.0886
MEM 83.703125 1766143952.1893
MEM 83.718750 1766143952.2899
MEM 83.718750 1766143952.3901
MEM 83.722656 1766143952.4908
MEM 83.722656 1766143952.5913
MEM 83.722656 1766143952.7316
MEM 83.675781 1766143952.8320
MEM 83.703125 1766143952.9323
MEM 83.710938 1766143953.0327
MEM 83.714844 1766143953.1332
MEM 83.726562 1766143953.2337
MEM 83.757812 1766143953.3345
MEM 83.757812 1766143953.4350
MEM 83.761719 1766143953.5354
MEM 83.761719 1766143953.6359
MEM 84.089844 1766143953.7367
MEM 83.707031 1766143953.8372
MEM 83.753906 1766143953.9376
MEM 83.753906 1766143954.0382
MEM 83.832031 1766143954.1386
MEM 83.851562 1766143954.2388
MEM 83.851562 1766143954.3395
MEM 83.867188 1766143954.4399
MEM 83.875000 1766143954.5402
MEM 83.875000 1766143954.6407
MEM 83.875000 1766143954.7412
MEM 83.875000 1766143954.8419
MEM 83.875000 1766143954.9426
MEM 83.875000 1766143955.0432
MEM 83.730469 1766143955.1435
MEM 83.738281 1766143955.2439
MEM 83.738281 1766143955.3443
MEM 83.738281 1766143955.4449
MEM 83.738281 1766143955.5451
MEM 83.757812 1766143955.6453
MEM 83.765625 1766143955.7457
MEM 83.765625 1766143955.8462
MEM 83.765625 1766143955.9468
MEM 83.765625 1766143956.0474
MEM 83.726562 1766143956.1482
MEM 83.746094 1766143956.2486
MEM 83.746094 1766143956.3493
MEM 83.757812 1766143956.4496
MEM 83.761719 1766143956.5502
MEM 83.765625 1766143956.6507
MEM 83.765625 1766143956.7511
MEM 83.765625 1766143956.8515
MEM 83.765625 1766143956.9523
MEM 83.765625 1766143957.0530
MEM 83.644531 1766143957.1536
MEM 83.746094 1766143957.2538
MEM 83.750000 1766143957.3544
MEM 83.753906 1766143957.4547
MEM 83.773438 1766143957.5549
MEM 83.777344 1766143957.6551
MEM 83.777344 1766143957.7555
MEM 83.777344 1766143957.8559
MEM 83.777344 1766143957.9563
MEM 83.777344 1766143958.0570
MEM 83.660156 1766143958.1579
MEM 83.753906 1766143958.2586
MEM 83.757812 1766143958.3588
MEM 83.761719 1766143958.4593
MEM 83.769531 1766143958.5601
MEM 83.792969 1766143958.6606
MEM 83.816406 1766143958.7608
MEM 83.816406 1766143958.8615
MEM 83.816406 1766143958.9621
MEM 83.816406 1766143959.0626
MEM 83.816406 1766143959.1632
MEM 83.757812 1766143959.2636
MEM 85.023438 1766143959.3639
MEM 85.054688 1766143959.4643
